"Species_name_orig" "Region_name_orig" "Group" "Code" "Taxon_group"
"169" "Xenopus laevis" "Sonora" "Amphibia" "MXN-SO" "Amphibians; Reptiles"
"170" "Lithobates catesbeianus" "Nebraska" "Amphibia" "NEB-OO" "Amphibians; Reptiles"
"171" "Alytes obstetricans" "Netherlands " "Amphibia" "NET-OO" "Amphibians; Reptiles"
"172" "Triturus carnifex" "Netherlands " "Amphibia" "NET-OO" "Amphibians; Reptiles"
"173" "Ambystoma tigrinum" "Nevada" "Amphibia" "NEV-OO" "Amphibians; Reptiles"
"174" "Lithobates catesbeianus" "Nevada" "Amphibia" "NEV-OO" "Amphibians; Reptiles"
"175" "Rana draytonii" "Nevada" "Amphibia" "NEV-OO" "Amphibians; Reptiles"
"176" "Ichthyosaura alpestris" "New Zealand" "Amphibia" "New Zealand" "Amphibians; Reptiles"
"177" "Litoria ewingii" "New Zealand" "Amphibia" "New Zealand" "Amphibians; Reptiles"
"178" "Ranoidea raniformis" "New Zealand" "Amphibia" "New Zealand" "Amphibians; Reptiles"
"179" "Ranoidea aurea" "New Zealand" "Amphibia" "New Zealand" "Amphibians; Reptiles"
"180" "Litoria dentata" "Lord Howe I." "Amphibia" "NFK-LH" "Amphibians; Reptiles"
"181" "Anaxyrus americanus" "Newfoundland" "Amphibia" "NFL-NE" "Amphibians; Reptiles"
"182" "Lithobates clamitans" "Newfoundland" "Amphibia" "NFL-NE" "Amphibians; Reptiles"
"183" "Lithobates septentrionalis" "Newfoundland" "Amphibia" "NFL-NE" "Amphibians; Reptiles"
"184" "Lithobates sylvaticus" "Newfoundland" "Amphibia" "NFL-NE" "Amphibians; Reptiles"
"185" "Lithobates clamitans" "Saint Pierre and Miquelon" "Amphibia" "NFL-SP" "Amphibians; Reptiles"
"186" "Osteopilus septentrionalis" "Bonaire" "Amphibia" "NLA-BO" "Amphibians; Reptiles"
"187" "Pleurodema brachyops" "Bonaire" "Amphibia" "NLA-BO" "Amphibians; Reptiles"
"188" "Eleutherodactylus johnstonei" "Curacao" "Amphibia" "NLA-CU" "Amphibians; Reptiles"
"189" "Pleurodema brachyops" "Curacao" "Amphibia" "NLA-CU" "Amphibians; Reptiles"
"190" "Pelophylax kl. esculentus" "Norway" "Amphibia" "NOR-OO" "Amphibians; Reptiles"
